Year,Average of Birth Rate
1961,39.30918902439023
1963,38.9836463414634
1964,38.636152439024414
1960,38.1432975192417
1962,38.13980894951087
1966,37.60593333333334
1965,36.927179228341224
1968,36.88002439024389
1969,36.501018292682915
1967,36.21269172393443
1971,35.85192727272728
1973,35.090506024096385
1970,34.82855026457547
1974,34.71862130177515
1972,34.41215982814208
1976,33.83203488372095
1978,33.20900578034682
1975,33.149989487571446
1979,32.96837142857143
1977,32.63243254689839
1981,32.00834251701922
1980,31.671848245879634
1983,31.559596607294687
1982,31.340386303041477
1984,31.313782855485456
1986,30.669407615658518
1985,30.332995912831034
1987,29.80143621218182
1988,29.589115686490384
1989,29.01811036633335
1990,28.39758602702702
1991,27.97215556162792
1992,27.289440827847518
1993,26.9616502173709
1994,26.417771890879628
1995,25.679301273108106
1996,25.302754057385332
1997,24.793529929049775
1999,24.60688386620371
1998,24.32741079175115
2000,23.630849569417055
2001,23.215781921055047
2002,22.8857264303722
2003,22.731458665119828
2004,22.513075449175123
2005,22.19821510106728
2006,21.99790327615247
2007,21.84221386851351
2008,21.72267435438356
